District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs/Quintal),Max Price (Rs/Quintal),Modal Price (Rs/Quintal)
Meerut,Meerut,Apple,Delicious,Medium,2800,5600,5300
Meerut,Meerut,Apple,Delicious,Medium,2820,5570,5450
Meerut,Meerut,Apple,Delicious,Medium,2970,5600,5410
Meerut,Meerut,Apple,Delicious,Medium,3000,5475,5435
Meerut,Meerut,Apple,Delicious,Medium,4100,4730,4550
Meerut,Meerut,Apple,Delicious,Medium,4250,5100,4620
Meerut,Meerut,Apple,Delicious,Medium,4270,5000,4850
Meerut,Meerut,Apple,Delicious,Medium,4300,5100,4710
Meerut,Meerut,Apple,Delicious,Medium,4400,5170,4820
Meerut,Meerut,Apple,Delicious,Medium,4450,5100,4880
Meerut,Meerut,Banana,Medium,Medium,0,0,710
Meerut,Meerut,Banana,Other,Medium,520,590,560
Meerut,Meerut,Banana,Other,Medium,670,855,795
Meerut,Meerut,Banana,Medium,Medium,0,0,755
Meerut,Meerut,Banana,Other,Medium,0,0,900
Meerut,Meerut,Banana,Medium,Medium,0,0,750
Meerut,Meerut,Banana,Other,Medium,800,900,830
Meerut,Meerut,Banana,Medium,Medium,0,0,780
Meerut,Meerut,Banana,Other,Medium,950,1050,1010
Meerut,Meerut,Banana,Medium,Medium,0,0,740
Meerut,Meerut,Bhindi(Ladies Finger),Bhindi,FAQ,1360,1450,1410
Meerut,Meerut,Bhindi(Ladies Finger),Bhindi,FAQ,1500,1585,1530
Meerut,Meerut,Bhindi(Ladies Finger),Bhindi,FAQ,1400,1525,1430
Meerut,Meerut,Bhindi(Ladies Finger),Bhindi,FAQ,2265,2500,2340
Meerut,Meerut,Bhindi(Ladies Finger),Bhindi,FAQ,1275,1360,1325
Meerut,Meerut,Bhindi(Ladies Finger),Bhindi,FAQ,2450,2500,2500
Meerut,Meerut,Bhindi(Ladies Finger),Bhindi,FAQ,900,975,940
Meerut,Meerut,Bhindi(Ladies Finger),Bhindi,FAQ,1275,1360,1320
Meerut,Meerut,Bhindi(Ladies Finger),Bhindi,FAQ,1320,1400,1380
Meerut,Meerut,Bhindi(Ladies Finger),Bhindi,FAQ,1400,1475,1440
Meerut,Meerut,Cabbage,Cabbage,FAQ,0,0,875
Meerut,Meerut,Cabbage,Cabbage,FAQ,0,0,880
Meerut,Meerut,Cabbage,Cabbage,FAQ,0,0,920
Meerut,Meerut,Cabbage,Cabbage,FAQ,0,0,950
Meerut,Meerut,Cabbage,Cabbage,FAQ,0,0,1125
Meerut,Meerut,Cabbage,Cabbage,FAQ,0,0,1425
Meerut,Meerut,Cabbage,Cabbage,FAQ,0,0,1500
Meerut,Meerut,Cabbage,Cabbage,FAQ,0,0,1550
Meerut,Meerut,Cabbage,Cabbage,FAQ,325,400,340
Meerut,Meerut,Cabbage,Cabbage,FAQ,330,400,350
Meerut,Meerut,Carrot,Carrot,FAQ,0,0,390
Meerut,Meerut,Carrot,Carrot,FAQ,0,0,390
Meerut,Meerut,Carrot,Carrot,FAQ,0,0,400
Meerut,Meerut,Carrot,Carrot,FAQ,0,0,400
Meerut,Meerut,Carrot,Carrot,FAQ,0,0,400
Meerut,Meerut,Carrot,Carrot,FAQ,0,0,400
Meerut,Meerut,Carrot,Carrot,FAQ,0,0,400
Meerut,Meerut,Carrot,Carrot,FAQ,0,0,400
Meerut,Meerut,Carrot,Carrot,FAQ,0,0,400
Meerut,Meerut,Carrot,Carrot,FAQ,0,0,410
Meerut,Meerut,Cauliflower,Cauliflower,FAQ,500,620,580
Meerut,Meerut,Cauliflower,Cauliflower,FAQ,2050,2260,2125
Meerut,Meerut,Cauliflower,Cauliflower,FAQ,2250,2400,2325
Meerut,Meerut,Cauliflower,Cauliflower,FAQ,1420,1530,1450
Meerut,Meerut,Cauliflower,Cauliflower,FAQ,1120,1175,1150
Meerut,Meerut,Cauliflower,Cauliflower,FAQ,1690,1760,1730
Meerut,Meerut,Cauliflower,Cauliflower,FAQ,2500,2600,2550
Meerut,Meerut,Cauliflower,Cauliflower,FAQ,0,0,725
Meerut,Meerut,Cauliflower,Cauliflower,FAQ,2400,2570,2500
